REPORT_DATE,FATALITIES,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998,has_accident_before_2006,name,Longitude,Latitude,Region,Family,Color,Nearest Neighbor,Region_color,simple_family
1970-01-01 00:00:00.020220126,1,40081,0.0,0,0,0,0,Lincoln,-96.88123961,35.7027284,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020220126,1,40081,0.0,0,0,0,0,Lincoln,-96.88123961,35.7027284,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020230827,1,18081,-1.0,0,0,0,0,Johnson,-86.10174496,39.4899568,MW,Middle America,orange,Indianapolis,#f7b6d2,Traditional
1970-01-01 00:00:00.020230804,1,40035,-3.0,0,0,0,0,Craig,-95.20866115,36.76178038,MW,Middle America,orange,Kansas City (MO),#f7b6d2,Traditional
1970-01-01 00:00:00.020230824,1,51087,-3.0,0,0,0,0,Henrico,-77.40505652,37.53796421,S,Middle America,orange,Richmond,#1f77b4,Traditional
1970-01-01 00:00:00.020230824,1,51087,-3.0,0,0,0,0,Henrico,-77.40505652,37.53796421,S,Middle America,orange,Richmond,#1f77b4,Traditional
1970-01-01 00:00:00.020230804,1,40145,0.0,0,0,0,0,Wagoner,-95.52115154,35.96138606,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020230225,1,6071,-5.0,0,0,0,0,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020230527,1,6037,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020230111,1,6071,-5.0,0,0,0,0,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020230601,1,4013,4.0,0,0,0,0,Maricopa,-112.4908888,33.34875974,W,Growth Management,green,Phoenix,#d62728,Reform
1970-01-01 00:00:00.020210807,1,51023,-1.0,0,0,0,0,Botetourt,-79.8119662,37.5570231,S,Middle America,orange,Greensboro,#1f77b4,Traditional
1970-01-01 00:00:00.020230712,3,17119,1.0,0,0,0,1,Madison,-89.90510951,38.83016798,MW,Middle America,orange,St. Louis (IL),#f7b6d2,Traditional
1970-01-01 00:00:00.020230708,1,18151,1.0,0,0,0,0,Steuben,-85.00106921,41.64408329,MW,Middle America,orange,Grand Rapids,#f7b6d2,Traditional
1970-01-01 00:00:00.020230513,1,6039,-2.0,0,0,0,0,Madera,-119.7624357,37.21825802,W,Growth Management,green,Sacramento,#d62728,Reform
1970-01-01 00:00:00.020230331,1,20091,-1.0,0,0,0,0,Johnson,-94.82256945,38.88370015,MW,Middle America,orange,Kansas City (KS),#f7b6d2,Traditional
